Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003000001,0,Москва,1905 года,10А стр 1,10А, , ,стр,1,стр 1,Нежил,"Москва, 1905 года, 10А стр 1",C7,"37,55948","55,767437",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000002,0,Москва,1905 года,10 стр 1,10, , ,стр,1,стр 1,Нежил,"Москва, 1905 года, 10 стр 1",C7,"37,558619","55,768026",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000003,0,Москва,1905 года,10 стр 2,10, , ,стр,2,стр 2,Нежил,"Москва, 1905 года, 10 стр 2",C7,"37,559036","55,768156",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000004,0,Москва,1905 года,10 стр 3,10, , ,стр,3,стр 3,Нежил,"Москва, 1905 года, 10 стр 3",C7,"37,559463","55,767834",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000005,0,Москва,1905 года,11 стр 1,11, , ,стр,1,стр 1,Жил,"Москва, 1905 года, 11 стр 1",C7,"37,560528","55,764881",5,0,active, ,1960,10,68,блок,171, ,0
KFC Belorusskaya Moscow,5003000006,0,Москва,1905 года,14 стр 1,14, , ,стр,1,стр 1,Нежил,"Москва, 1905 года, 14 стр 1",C7,"37,557262","55,769156",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000007,0,Москва,1905 года,15,15, , , , , ,Жил,"Москва, 1905 года, 15",C7,"37,559866","55,765486",5,0,active, ,2003,17,170,панель,427, ,0
KFC Belorusskaya Moscow,5003000008,0,Москва,1905 года,16,16, , , , , ,Жил,"Москва, 1905 года, 16",C8,"37,556308","55,771257",5,0,active, ,1960,5,64,кирпич,161, ,0
KFC Belorusskaya Moscow,5003000009,0,Москва,1905 года,17,17, , , , , ,Жил,"Москва, 1905 года, 17",C7,"37,55929","55,766098",5,0,active, ,2003,17,170,панель,427, ,0
KFC Belorusskaya Moscow,5003000010,0,Москва,1905 года,19,19, , , , , ,Жил,"Москва, 1905 года, 19",C7,"37,558631","55,766709",5,0,active, ,2003,17,170,панель,427, ,0
KFC Belorusskaya Moscow,5003000011,0,Москва,1905 года,21,21, , , , , ,Жил,"Москва, 1905 года, 21",C7,"37,557959","55,767306",5,0,active, ,2003,17,170,панель,427, ,0
KFC Belorusskaya Moscow,5003000012,0,Москва,1905 года,23,23, , , , , ,Жил,"Москва, 1905 года, 23",C7,"37,557403","55,7679",5,0,active, ,1999,14,162,панель,407, ,0
KFC Belorusskaya Moscow,5003000013,0,Москва,1905 года,25,25, , , , , ,Жил,"Москва, 1905 года, 25",C7,"37,556575","55,768339",5,0,active, ,1965,8,84,кирпич,211, ,0
KFC Belorusskaya Moscow,5003000015,0,Москва,1905 года,4,4, , , , , ,Жил,"Москва, 1905 года, 4",C7,"37,56158","55,765201",5,0,active, ,1960,8,127,кирпич,319, ,15
KFC Belorusskaya Moscow,5003000016,0,Москва,1905 года,4 стр 2,4, , ,стр,2,стр 2,Нежил,"Москва, 1905 года, 4 стр 2",C7,"37,561789","55,76441",5,0,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003000017,0,Москва,1905 года,6 стр 1,6, , ,стр,1,стр 1,Нежил,"Москва, 1905 года, 6 стр 1",C7,"37,560566","55,766243",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000018,0,Москва,1905 года,8,8, , , , , ,Нежил,"Москва, 1905 года, 8",C7,"37,560117","55,767084",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000019,0,Москва,1905 года,9,9, , , , , ,Нежил,"Москва, 1905 года, 9",C7,"37,560287","55,764112",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003000020,0,Москва,1905 года,9 стр 1,9, , ,стр,1,стр 1,Жил,"Москва, 1905 года, 9 стр 1",C7,"37,56009","55,763797",5,0,active, ,1960,10,66,блок,166, ,0
KFC Belorusskaya Moscow,5003000021,0,Москва,1905 года,9 стр 2,9, , ,стр,2,стр 2,Жил,"Москва, 1905 года, 9 стр 2",C7,"37,560231","55,764307",5,0,active, ,1960,10,56,блок,141, ,0
KFC Belorusskaya Moscow,5003000022,0,Москва,Беговая,10,10, , , , , ,Жил,"Москва, Беговая, 10",D3,"37,556271","55,776558",10,0,active, ,1960,5,30,кирпич,80, ,0
KFC Belorusskaya Moscow,5003000023,0,Москва,Беговая,12,12, , , , , ,Нежил,"Москва, Беговая, 12",D3,"37,556983","55,776702",10,0,active, ,0,0,0, ,0, ,0
